Number;Date;Time;Pulse;Frequency;Duration;Value;Amp;Picture
1;Mar-20;09_45_53;200;8;250;Passed;;0
2;Mar-20;09_46_30;400;15;250;Passed;;1
3;Mar-20;09_47_14;50;30;50;Passed;;2
4;Mar-20;09_47_30;100;50;250;Passed;;3
5;Mar-20;09_47_52;100;95;50;Passed;;4
6;Mar-20;09_48_16;400;95;500;Passed;;5
7;Mar-20;09_48_48;50;8;250;Passed;;6
8;Mar-20;09_49_01;50;50;50;Passed;;7
9;Mar-20;09_49_14;100;8;250;Passed;;8
10;Mar-20;09_49_15;50;8;50;Skipped;;
11;Mar-20;09_49_35;400;50;500;Passed;;9
12;Mar-20;09_49_59;100;95;500;Passed;;10
13;Mar-20;09_50_22;100;15;500;Passed;;11
14;Mar-20;09_50_36;400;95;50;Passed;;12
15;Mar-20;09_51_05;100;95;250;Passed;;13
16;Mar-20;09_51_06;100;8;50;Skipped;;
17;Mar-20;09_51_33;200;30;500;Passed;;14
18;Mar-20;09_52_21;50;95;250;Passed;;15
19;Mar-20;09_52_33;400;30;250;Passed;;16
20;Mar-20;09_53_09;100;30;50;Passed;;17
21;Mar-20;09_53_46;200;95;250;Passed;;18
22;Mar-20;09_53_46;50;15;50;Skipped;;
23;Mar-20;09_54_18;100;30;500;Passed;;19
24;Mar-20;09_55_21;400;30;50;Passed;;20
25;Mar-20;09_55_48;50;50;500;Passed;;21
26;Mar-20;09_56_01;200;50;50;Passed;;22
27;Mar-20;09_56_38;50;95;500;Passed;;23
28;Mar-20;09_56_50;100;50;500;Passed;;24
29;Mar-20;09_57_14;200;15;500;Passed;;25
30;Mar-20;09_57_41;200;50;500;Passed;;26
31;Mar-20;09_58_04;400;50;50;Passed;;27
32;Mar-20;09_58_05;400;15;50;Skipped;;
33;Mar-20;09_58_32;100;50;50;Passed;;28
34;Mar-20;09_59_29;400;50;250;Passed;;29
35;Mar-20;10_00_05;400;8;250;Passed;;30
36;Mar-20;10_00_27;400;30;500;Passed;;31
37;Mar-20;10_01_12;50;15;250;Passed;;32
38;Mar-20;10_01_13;400;8;50;Skipped;;
39;Mar-20;10_01_23;400;95;250;Passed;;33
40;Mar-20;10_01_23;100;15;50;Skipped;;
41;Mar-20;10_01_48;50;50;250;Passed;;34
42;Mar-20;10_01_56;50;30;250;Passed;;35
43;Mar-20;10_02_05;50;30;500;Passed;;36
44;Mar-20;10_02_13;200;95;50;Passed;;37
45;Mar-20;10_02_32;400;8;500;Passed;;38
46;Mar-20;10_02_54;200;8;500;Passed;;39
47;Mar-20;10_03_26;200;50;250;Passed;;40
48;Mar-20;10_03_50;200;15;250;Passed;;41
49;Mar-20;10_04_10;100;30;250;Passed;;42
50;Mar-20;10_04_32;200;30;250;Passed;;43
51;Mar-20;10_04_55;100;8;500;Passed;;44
52;Mar-20;10_04_56;200;8;50;Skipped;;
53;Mar-20;10_04_56;200;15;50;Skipped;;
54;Mar-20;10_05_14;400;15;500;Passed;;45
55;Mar-20;10_05_39;100;15;250;Passed;;46
56;Mar-20;10_06_01;50;8;500;Passed;;48
57;Mar-20;10_06_12;200;30;50;Passed;;49
58;Mar-20;10_06_38;50;15;500;Passed;;50
59;Mar-20;10_06_48;50;95;50;Passed;;51
