Data num,Time,coolSlider,electricSlider,flutterSlider,itchSlider,maintactileSlider,motorSlider,naturalSlider,numbSlider,painSlider,phantomSlider,pressureSlider,prickSlider,pulseSlider,sharpSlider,shockSlider,tempSlider,tickleSlider,tingleSlider,touchSlider,urgeSlider,vibrationSlider
0,17:55:19,,,,,0.3,5,4.5,,0,0.0,,,,,,0.0,,,,,5.0
1,17:56:30,,,,,2.6,5,3.1,,0,0.0,,5.0,,,,0.0,,,,,5.0
2,17:57:14,,,,,4.5,5,1.2,,0,0.0,,5.0,,,,0.0,,5.0,,,5.0
3,17:57:54,,,,,10.0,5,5.0,,0,0.0,,,,,,0.0,,,,,
4,17:58:29,,,,,3.0,5,3.4,,0,0.0,,5.0,,,,0.0,,5.0,,,5.0
5,17:58:57,,,,,0.4,5,4.5,,0,0.0,,,,,,0.0,,,,,5.0
6,17:59:11,,,,,0.0,5,5.0,,0,0.0,,,,,,0.0,,,,,
7,17:59:56,,,,,4.6,5,2.3,,0,0.0,,,,,,0.0,,5.0,,,5.0
8,18:00:29,,,,,3.3,5,2.2,,0,0.0,,,,,,0.0,,5.0,,,5.0
9,18:01:10,,,,,0.4,5,4.5,,0,0.0,,,,,,0.0,,,,,5.0
10,18:01:43,,,,,1.7,5,3.8,,0,0.0,,,,,,0.0,,5.0,,,5.0
11,18:02:22,,,,,0.7,5,4.3,,0,0.0,,,,,,0.0,,5.0,,,
12,18:02:51,,,,,0.4,5,4.6,,0,0.0,,,,,,0.0,,,,,5.0
13,18:03:29,,,,,1.5,5,3.7,,0,0.0,,,,,,0.0,,,,,5.0
14,18:04:01,,,,,1.4,5,3.0,,0,0.0,,,,,,0.0,,5.0,,,5.0
15,18:04:14,,,,,0.0,5,5.0,,0,0.0,,,,,,0.0,,,,,
16,18:04:55,,,,,1.2,5,4.2,,0,0.0,,,,,,0.0,,,,,5.0
17,18:05:09,,,,,0.0,5,5.0,,0,0.0,,,,,,0.0,,,,,
18,18:05:37,,,,,1.2,5,3.4,,0,0.0,,,,,,0.0,,5.0,,,5.0
19,18:07:29,,,,,2.5,5,2.1,,0,0.0,,,,,,0.0,,5.0,,,5.0
20,18:07:52,,,,,0.8,5,4.4,,0,0.0,,,,,,0.0,,,,,5.0
21,18:08:25,,,,,1.1,5,4.2,,0,0.0,,,,,,0.0,,5.0,,,5.0
22,18:08:54,,,,,0.4,5,5.0,,0,0.0,,,,,,0.0,,5.0,,,
23,18:09:28,,,,,1.5,5,3.5,,0,0.0,,,,,,0.0,,5.0,,,5.0
24,18:10:24,,,,,1.3,5,3.8,,0,0.0,,,,,,0.0,,,,,5.0
25,18:10:46,,,,,0.0,5,5.0,,0,0.0,,,,,,0.0,,,,,
26,18:10:59,,,,,0.0,5,5.0,,0,0.0,,,,,,0.0,,,,,
27,18:11:57,,,,,0.6,5,4.5,,0,0.0,,,,,,0.0,,5.0,,,
28,18:12:28,,,,,0.6,5,5.0,,0,0.0,,,,,,0.0,,5.0,,,
29,18:12:55,,,,,0.3,5,4.7,,0,0.0,,,,,,0.0,,5.0,,,
30,18:13:27,,,,,4.2,5,0.0,,0,0.0,,5.0,,,,0.0,,5.0,,,5.0
31,18:13:53,,,,,0.3,5,4.7,,0,0.0,,,,,,0.0,,5.0,,,
32,18:14:12,,,,,0.0,5,5.0,,0,0.0,,,,,,0.0,,,,,
33,18:14:42,,,,,1.5,5,4.1,,0,0.0,,5.0,,,,0.0,,,,,5.0
34,18:14:52,,,,,0.0,5,5.0,,0,0.0,,,,,,0.0,,,,,
35,18:15:07,,,,,0.0,5,5.0,,0,0.0,,,,,,0.0,,,,,
36,18:15:36,,,,,1.2,5,3.6,,0,0.0,,,,,,0.0,,5.0,,,5.0
37,18:15:50,,,,,0.0,5,5.0,,0,0.0,,,,,,0.0,,,,,
38,18:16:00,,,,,0.0,5,5.0,,0,0.0,,,,,,0.0,,,,,
39,18:16:25,,,,,1.2,5,3.9,,0,0.0,,,5.0,,,0.0,,,,,
40,18:16:26,,,,,5.0,5,0.0,,0,0.0,,,,,,0.0,,,,,
41,18:16:40,,,,,0.0,5,5.0,,0,0.0,,,,,,0.0,,,,,
42,18:17:06,,,,,0.7,5,4.3,,0,0.0,,,,,,0.0,,,,,5.0
43,18:17:40,,,,,0.4,5,4.8,,0,0.0,,,,,,0.0,,,,,5.0
44,18:18:13,,,,,0.4,5,4.6,,0,0.0,,,,,,0.0,,5.0,,,5.0
45,18:18:37,,,,,0.2,5,4.7,,0,0.0,,,,,,0.0,,,,,5.0
46,18:19:00,,,,,0.6,5,4.4,,0,0.0,,,,,,0.0,,5.0,,,5.0
